source_name,source_url,evidence_date,evidence_status,category_level_1,component_type,product_name_original,variant_name_original,size_mm,price_visible,currency,unit_type,variant_coverage_status,variant_count_verified,image_local_mapping_status,collection_method,notes
灵感石,#小程序://灵感石/jfAvHSTbnwrvrYk,2026-07-14,verified-public,水晶,bead,白阿塞,8mm,8,4,CNY,single-bead,complete-visible,4,local-images-unmapped,variant-step-control,"从最低规格逐级确认至最高规格；同一商品图片仅待映射一次。"
灵感石,#小程序://灵感石/jfAvHSTbnwrvrYk,2026-07-14,verified-public,水晶,bead,白阿塞,10mm,10,5,CNY,single-bead,complete-visible,4,local-images-unmapped,variant-step-control,"从最低规格逐级确认至最高规格；同一商品图片仅待映射一次。"
灵感石,#小程序://灵感石/jfAvHSTbnwrvrYk,2026-07-14,verified-public,水晶,bead,白阿塞,12mm,12,10,CNY,single-bead,complete-visible,4,local-images-unmapped,variant-step-control,"从最低规格逐级确认至最高规格；同一商品图片仅待映射一次。"
灵感石,#小程序://灵感石/jfAvHSTbnwrvrYk,2026-07-14,verified-public,水晶,bead,白阿塞,14mm,14,15,CNY,single-bead,complete-visible,4,local-images-unmapped,variant-step-control,"从最低规格逐级确认至最高规格；同一商品图片仅待映射一次。"
灵感石,#小程序://灵感石/jfAvHSTbnwrvrYk,2026-07-14,verified-public,水晶,bead,高品净体白水晶,6mm,6,4,CNY,single-bead,complete-visible,5,local-images-unmapped,variant-step-control,"从最低规格逐级确认至最高规格；同一商品图片仅待映射一次。"
灵感石,#小程序://灵感石/jfAvHSTbnwrvrYk,2026-07-14,verified-public,水晶,bead,高品净体白水晶,8mm,8,6,CNY,single-bead,complete-visible,5,local-images-unmapped,variant-step-control,"从最低规格逐级确认至最高规格；同一商品图片仅待映射一次。"
灵感石,#小程序://灵感石/jfAvHSTbnwrvrYk,2026-07-14,verified-public,水晶,bead,高品净体白水晶,10mm,10,11,CNY,single-bead,complete-visible,5,local-images-unmapped,variant-step-control,"从最低规格逐级确认至最高规格；同一商品图片仅待映射一次。"
灵感石,#小程序://灵感石/jfAvHSTbnwrvrYk,2026-07-14,verified-public,水晶,bead,高品净体白水晶,12mm,12,22,CNY,single-bead,complete-visible,5,local-images-unmapped,variant-step-control,"从最低规格逐级确认至最高规格；同一商品图片仅待映射一次。"
灵感石,#小程序://灵感石/jfAvHSTbnwrvrYk,2026-07-14,verified-public,水晶,bead,高品净体白水晶,14mm,14,30,CNY,single-bead,complete-visible,5,local-images-unmapped,variant-step-control,"从最低规格逐级确认至最高规格；同一商品图片仅待映射一次。"
灵感石,#小程序://灵感石/jfAvHSTbnwrvrYk,2026-07-14,verified-public,水晶,bead,白水晶,6mm,6,2,CNY,single-bead,complete-visible,5,local-images-unmapped,variant-step-control,"从最低规格逐级确认至最高规格；同一商品图片仅待映射一次。"
灵感石,#小程序://灵感石/jfAvHSTbnwrvrYk,2026-07-14,verified-public,水晶,bead,白水晶,8mm,8,4,CNY,single-bead,complete-visible,5,local-images-unmapped,variant-step-control,"从最低规格逐级确认至最高规格；同一商品图片仅待映射一次。"
灵感石,#小程序://灵感石/jfAvHSTbnwrvrYk,2026-07-14,verified-public,水晶,bead,白水晶,10mm,10,7,CNY,single-bead,complete-visible,5,local-images-unmapped,variant-step-control,"从最低规格逐级确认至最高规格；同一商品图片仅待映射一次。"
灵感石,#小程序://灵感石/jfAvHSTbnwrvrYk,2026-07-14,verified-public,水晶,bead,白水晶,12mm,12,10,CNY,single-bead,complete-visible,5,local-images-unmapped,variant-step-control,"从最低规格逐级确认至最高规格；同一商品图片仅待映射一次。"
灵感石,#小程序://灵感石/jfAvHSTbnwrvrYk,2026-07-14,verified-public,水晶,bead,白水晶,14mm,14,15,CNY,single-bead,complete-visible,5,local-images-unmapped,variant-step-control,"从最低规格逐级确认至最高规格；同一商品图片仅待映射一次。"
