"design_id","component_order","material_name_original","size_or_spec_original","quantity","source_row_price","source_price_unit_status","notes"
"zhulegezhu-design-square-20260714-duobaxingqiu",,"葡萄石",,,,,"来源详情页显示值；不推断为整串成本。"
"zhulegezhu-design-square-20260714-duobaxingqiu",,"星光粉水晶",,,,,"来源详情页显示值；不推断为整串成本。"
"zhulegezhu-design-square-20260714-duobaxingqiu",,"果冻粉水晶",,,,,"来源详情页显示值；不推断为整串成本。"
"zhulegezhu-design-square-20260714-duobaxingqiu",,"蓝月光",,,,,"来源详情页显示值；不推断为整串成本。"
"zhulegezhu-design-square-20260714-duobaxingqiu",,"冰糖雪梨黄水晶",,,,,"来源详情页显示值；不推断为整串成本。"
"zhulegezhu-design-square-20260714-duobaxingqiu",,"海纹石",,,,,"来源详情页显示值；不推断为整串成本。"
"zhulegezhu-design-square-20260714-duobaxingqiu",,"紫锂辉",,,,,"来源详情页显示值；不推断为整串成本。"
"zhulegezhu-design-square-20260714-duobaxingqiu",,"星星",,,,,"来源详情页显示值；不推断为整串成本。"
"zhulegezhu-design-square-20260714-duobaxingqiu",,"白幽灵",,,,,"来源详情页显示值；不推断为整串成本。"
"zhulegezhu-design-square-20260714-duobaxingqiu",,"蔷薇石",,,,,"来源详情页显示值；不推断为整串成本。"
