"sequence","design_name","author","usage_count_at_capture","like_count_at_capture","source_quantity_multiplied_total","component_rows","folder","image_status"
"1","（守护）108颗念珠","微信用户","985","27","382.00","6","001-（守护）108颗念珠","pending-export-and-verification"
"2","八卦金链","七七","216","21","63.00","4","002-八卦金链","pending-export-and-verification"
"3","八月","八月","225","11","176.00","5","003-八月","pending-export-and-verification"
"4","薄荷青柠茶","시드니","700","73","72.00","5","004-薄荷青柠茶","pending-export-and-verification"
"5","忏悔","一杯薄荷茶","204","17","77.00","7","005-忏悔","pending-export-and-verification"
"6","丹凝","小七","100","2","866.00","5","006-丹凝","pending-export-and-verification"
"7","东方既白","对方正在长头发","353","32","105.00","3","007-东方既白","pending-export-and-verification"
"8","多巴星球","你好","436","42","396.00","10","008-多巴星球","pending-export-and-verification"
"9","扶苏","清浅の","1991","25","289.00","5","009-扶苏","pending-export-and-verification"
"10","福禄","粥粥","1126","31","248.00","2","010-福禄","pending-export-and-verification"
"11","福星高照","枕月","290","23","85.50","7","011-福星高照","pending-export-and-verification"
"12","感觉","You","263","25","96.00","6","012-感觉","pending-export-and-verification"
"13","观自在","微信用户","663","26","174.00","3","013-观自在","pending-export-and-verification"
"14","桂花酒","ssq","2618","11","177.00","4","014-桂花酒","pending-export-and-verification"
"15","海岛之心","元气满满","1387","24","160.00","5","015-海岛之心","pending-export-and-verification"
"16","好运莲莲","青梅煮酒","828","24","54.00","3","016-好运莲莲","pending-export-and-verification"
"17","花间","暖","2979","120","216.00","5","017-花间","pending-export-and-verification"
"18","花楹","十月","1534","25","162.00","4","018-花楹","pending-export-and-verification"
"19","鲛人泪","可儿","728","44","152.00","6","019-鲛人泪","pending-export-and-verification"
"20","今日宜纳福","糖串串","176","7","559.00","5","020-今日宜纳福","pending-export-and-verification"
"21","金福","winwin","1179","16","343.00","4","021-金福","pending-export-and-verification"
"22","金玉良缘","绵绵🌴","187","8","890.00","3","022-金玉良缘","pending-export-and-verification"
"23","金昭","微信用户","273","14","596.00","8","023-金昭","pending-export-and-verification"
"24","金珠迎福","Dy","323","8","170.50","6","024-金珠迎福","pending-export-and-verification"
"25","锦时","不知道","1683","20","240.00","5","025-锦时","pending-export-and-verification"
"26","橘调日光","韵韵","491","23","208.00","9","026-橘调日光","pending-export-and-verification"
"27","珺璟","兹梵","513","37","76.00","6","027-珺璟","pending-export-and-verification"
"28","蓝色的梦","丽.Lin","716","25","131.00","6","028-蓝色的梦","pending-export-and-verification"
"29","绿绿绿绿","不知道叫啥","46","4","119.00","5","029-绿绿绿绿","pending-export-and-verification"
"30","喵子平安","荔枝ᥫᩣᩚ","972","77","280.00","6","030-喵子平安","pending-export-and-verification"
"31","缪斯","栀","994","29","134.00","5","031-缪斯","pending-export-and-verification"
"32","木质蓝鲸","Ashley","219","12","320.00","6","032-木质蓝鲸","pending-export-and-verification"
"33","尼泊尔","暴富","1913","37","212.00","5","033-尼泊尔","pending-export-and-verification"
"34","菩提心","潇潇","180","9","154.00","2","034-菩提心","pending-export-and-verification"
"35","葡萄气泡","一一","751","17","217.00","3","035-葡萄气泡","pending-export-and-verification"
"36","青涧月","云清让","147","9","274.00","7","036-青涧月","pending-export-and-verification"
"37","青平乐","TripleU","264","23","285.00","9","037-青平乐","pending-export-and-verification"
"38","晴川碧玉","晚🍊予风","1372","42","527.00","5","038-晴川碧玉","pending-export-and-verification"
"39","赎罪","云卷云舒","284","28","107.00","5","039-赎罪","pending-export-and-verification"
"40","岁岁鸿福","淡然~","1387","16","275.00","5","040-岁岁鸿福","pending-export-and-verification"
"41","天空之境","ai在西元前","2256","37","136.00","3","041-天空之境","pending-export-and-verification"
"42","天珠","Y","1656","13","60.00","2","042-天珠","pending-export-and-verification"
"43","甜心菠萝","ZMQ","264","17","168.00","5","043-甜心菠萝","pending-export-and-verification"
"44","无患","潇潇","115","4","316.00","3","044-无患","pending-export-and-verification"
"45","许我无忧","TvTing","866","36","47.00","3","045-许我无忧","pending-export-and-verification"
"46","玄霜序","续约","462","50","135.00","8","046-玄霜序","pending-export-and-verification"
"47","银河","清香木","1109","39","125.00","4","047-银河","pending-export-and-verification"
"48","雨霖铃","微信用户","2531","113","288.00","5","048-雨霖铃","pending-export-and-verification"
"49","院香","一厢旧梦","1104","18","156.00","5","049-院香","pending-export-and-verification"
"50","月序","你好","246","13","557.00","8","050-月序","pending-export-and-verification"
"51","昭和录","world妈呀!","392","38","113.00","11","051-昭和录","pending-export-and-verification"
"52","真我","Goodnight","648","6","92.00","3","052-真我","pending-export-and-verification"
"53","朱""事顺利","奶油草莓","1791","53","102.00","4","053-朱_事顺利","pending-export-and-verification"
"54","竹影鎏金（108籽）","玛莲娜","913","26","1361.00","5","054-竹影鎏金（108籽）","pending-export-and-verification"
"55","灼华","微信用户","684","36","102.00","5","055-灼华","pending-export-and-verification"
"56","紫定上岸","啦啦啦","329","18","163.00","6","056-紫定上岸","pending-export-and-verification"
"57","紫气东来🔮","冰至","289","26","305.00","8","057-紫气东来🔮","pending-export-and-verification"
"58","自由与爱","矅","2946","44","54.00","5","058-自由与爱","pending-export-and-verification"
