candidate_id,product_name_en,primary_scene,reference_sources,candidate_recipe_status,image_status,price_status,woo_product_status,customize_candidate,notes
odc-001,Quiet Tide,Calm,MoonArq Studio; Crystalis,pending-live-variant-validation,no-owned-image,pending-cost-review,not-created,no,Scene/name candidate only; no production recipe.
odc-002,Lavender Pause,Calm,MyAstris archive; Annflora,pending-live-variant-validation,no-owned-image,pending-cost-review,not-created,no,Scene/name candidate only; no production recipe.
odc-003,Soft Horizon,Calm,Crystalis,pending-live-variant-validation,no-owned-image,pending-cost-review,not-created,no,Scene/name candidate only; no production recipe.
odc-004,Still Water,Calm,MoonArq Studio,pending-live-variant-validation,no-owned-image,pending-cost-review,not-created,no,Scene/name candidate only; no production recipe.
odc-005,Open Heart,Love & Connection,Crystalis; MyAstris archive,pending-live-variant-validation,no-owned-image,pending-cost-review,not-created,no,Scene/name candidate only; no production recipe.
odc-006,Rose Thread,Love & Connection,Annflora; MyAstris archive,pending-live-variant-validation,no-owned-image,pending-cost-review,not-created,no,Scene/name candidate only; no production recipe.
odc-007,Kindred Light,Love & Connection,Crystalis,pending-live-variant-validation,no-owned-image,pending-cost-review,not-created,no,Scene/name candidate only; no production recipe.
odc-008,First Bloom,Love & Connection,Annflora,pending-live-variant-validation,no-owned-image,pending-cost-review,not-created,no,Scene/name candidate only; no production recipe.
odc-009,Golden Path,Luck,MyAstris archive; Annflora,pending-live-variant-validation,no-owned-image,pending-cost-review,not-created,no,Scene/name candidate only; no production recipe.
odc-010,Fortune Loop,Luck,MyAstris archive,pending-live-variant-validation,no-owned-image,pending-cost-review,not-created,no,Scene/name candidate only; no production recipe.
odc-011,Daybreak Charm,Luck,Annflora,pending-live-variant-validation,no-owned-image,pending-cost-review,not-created,no,Scene/name candidate only; no production recipe.
odc-012,Open Road,Luck,Lucid Beads,pending-live-variant-validation,no-owned-image,pending-cost-review,not-created,no,Scene/name candidate only; no production recipe.
odc-013,Rooted Shield,Protection,Crystalis; MyAstris archive,pending-live-variant-validation,no-owned-image,pending-cost-review,not-created,no,Scene/name candidate only; no production recipe.
odc-014,Midnight Guard,Protection,MyAstris archive; Lucid Beads,pending-live-variant-validation,no-owned-image,pending-cost-review,not-created,no,Scene/name candidate only; no production recipe.
odc-015,Grounded Truth,Protection,Lucid Beads,pending-live-variant-validation,no-owned-image,pending-cost-review,not-created,no,Scene/name candidate only; no production recipe.
odc-016,Boundaries,Protection,Crystalis,pending-live-variant-validation,no-owned-image,pending-cost-review,not-created,no,Scene/name candidate only; no production recipe.
odc-017,Clear Signal,Focus,MoonArq Studio; MyAstris archive,pending-live-variant-validation,no-owned-image,pending-cost-review,not-created,no,Scene/name candidate only; no production recipe.
odc-018,Study Light,Focus,MyAstris archive,pending-live-variant-validation,no-owned-image,pending-cost-review,not-created,no,Scene/name candidate only; no production recipe.
odc-019,Deep Blue,Focus,MoonArq Studio,pending-live-variant-validation,no-owned-image,pending-cost-review,not-created,no,Scene/name candidate only; no production recipe.
odc-020,Quiet Mind,Focus,Crystalis,pending-live-variant-validation,no-owned-image,pending-cost-review,not-created,no,Scene/name candidate only; no production recipe.
odc-021,Own Your Light,Confidence,Crystalis; MoonArq Studio,pending-live-variant-validation,no-owned-image,pending-cost-review,not-created,no,Scene/name candidate only; no production recipe.
odc-022,Steady Flame,Confidence,Annflora,pending-live-variant-validation,no-owned-image,pending-cost-review,not-created,no,Scene/name candidate only; no production recipe.
odc-023,Brave Heart,Confidence,Crystalis,pending-live-variant-validation,no-owned-image,pending-cost-review,not-created,no,Scene/name candidate only; no production recipe.
odc-024,Inner Gold,Confidence,MyAstris archive,pending-live-variant-validation,no-owned-image,pending-cost-review,not-created,no,Scene/name candidate only; no production recipe.
odc-025,New Chapter,New Beginnings,Crystalis,pending-live-variant-validation,no-owned-image,pending-cost-review,not-created,no,Scene/name candidate only; no production recipe.
odc-026,Fresh Start,New Beginnings,Annflora; MoonArq Studio,pending-live-variant-validation,no-owned-image,pending-cost-review,not-created,no,Scene/name candidate only; no production recipe.
odc-027,Spring Gate,New Beginnings,MyAstris archive,pending-live-variant-validation,no-owned-image,pending-cost-review,not-created,no,Scene/name candidate only; no production recipe.
odc-028,Turning Point,New Beginnings,Crystalis,pending-live-variant-validation,no-owned-image,pending-cost-review,not-created,no,Scene/name candidate only; no production recipe.
odc-029,Full Harvest,Abundance,Crystalis; MyAstris archive,pending-live-variant-validation,no-owned-image,pending-cost-review,not-created,no,Scene/name candidate only; no production recipe.
odc-030,Green Current,Abundance,MoonArq Studio,pending-live-variant-validation,no-owned-image,pending-cost-review,not-created,no,Scene/name candidate only; no production recipe.
odc-031,Sunlit Wealth,Abundance,Annflora; MyAstris archive,pending-live-variant-validation,no-owned-image,pending-cost-review,not-created,no,Scene/name candidate only; no production recipe.
odc-032,Prosperous Field,Abundance,Crystalis,pending-live-variant-validation,no-owned-image,pending-cost-review,not-created,no,Scene/name candidate only; no production recipe.
